user_id,conversation_id,session_id,variant,is_resolved,ai_metric,timestamp
u0011,conv0000014,sess0000031,A,1,2.74,2024-01-09 11:00:00
u0011,conv0000015,sess0000032,A,0,3.18,2024-01-01 02:00:00
u0012,conv0000016,sess0000033,A,1,3.89,2024-01-06 21:00:00
u0012,conv0000017,sess0000034,A,1,3.48,2024-01-01 17:00:00
u0013,conv0000018,sess0000035,A,1,4.61,2024-01-02 06:00:00
u0013,conv0000018,sess0000036,A,0,2.37,2024-01-04 18:00:00
u0013,conv0000018,sess0000037,A,1,2.73,2024-01-08 16:00:00
u0014,conv0000019,sess0000038,A,0,1.81,2024-01-01 04:00:00
u0014,conv0000020,sess0000039,A,1,3.57,2024-01-04 18:00:00
u0015,conv0000021,sess0000040,A,0,2.12,2024-01-07 05:00:00
u0015,conv0000021,sess0000041,A,1,3.8,2024-01-06 18:00:00
u0015,conv0000022,sess0000042,A,1,3.89,2024-01-01 11:00:00
u0015,conv0000022,sess0000043,A,0,2.22,2024-01-08 17:00:00
u0016,conv0000023,sess0000044,A,1,4.38,2024-01-06 11:00:00
u0016,conv0000023,sess0000045,A,1,4.73,2024-01-09 07:00:00
u0016,conv0000023,sess0000046,A,0,2.11,2024-01-06 12:00:00
u0016,conv0000024,sess0000047,A,1,4.36,2024-01-01 19:00:00
u0016,conv0000024,sess0000048,A,0,2.13,2024-01-07 18:00:00
u0017,conv0000025,sess0000049,A,0,1.26,2024-01-06 15:00:00
u0017,conv0000025,sess0000050,A,0,3.62,2024-01-04 05:00:00
u0018,conv0000026,sess0000051,A,1,4.48,2024-01-01 07:00:00
u0018,conv0000026,sess0000052,A,0,3.52,2024-01-05 12:00:00
u0019,conv0000027,sess0000053,A,0,3.1,2024-01-02 19:00:00
u0019,conv0000027,sess0000054,A,0,2.8,2024-01-03 17:00:00
u0019,conv0000028,sess0000055,A,1,4.85,2024-01-01 21:00:00
u0019,conv0000028,sess0000056,A,1,2.97,2024-01-07 14:00:00
u0020,conv0000029,sess0000057,A,0,2.04,2024-01-04 06:00:00
u0020,conv0000030,sess0000058,A,1,3.98,2024-01-07 17:00:00
u0021,conv0000031,sess0000059,A,1,3.81,2024-01-02 16:00:00
u0021,conv0000031,sess0000060,A,1,4.72,2024-01-04 19:00:00
u0021,conv0000031,sess0000061,A,0,2.64,2024-01-10 15:00:00
u0022,conv0000032,sess0000062,A,1,5.0,2024-01-03 19:00:00
u0022,conv0000032,sess0000063,A,1,4.77,2024-01-05 19:00:00
u0023,conv0000033,sess0000064,A,1,4.19,2024-01-07 23:00:00
u0023,conv0000033,sess0000065,A,0,2.84,2024-01-07 23:00:00
u0023,conv0000033,sess0000066,A,0,1.55,2024-01-08 13:00:00
u0023,conv0000034,sess0000067,A,1,2.62,2024-01-05 15:00:00
u0023,conv0000034,sess0000068,A,0,3.62,2024-01-01 23:00:00
u0024,conv0000035,sess0000069,A,1,3.05,2024-01-03 02:00:00
u0024,conv0000035,sess0000070,A,1,5.0,2024-01-09 03:00:00
u0024,conv0000036,sess0000071,A,0,3.02,2024-01-05 15:00:00
u0025,conv0000037,sess0000072,A,1,3.95,2024-01-04 05:00:00
u0025,conv0000037,sess0000073,A,0,2.38,2024-01-06 14:00:00
u0025,conv0000038,sess0000074,A,0,3.65,2024-01-05 06:00:00
u0025,conv0000038,sess0000075,A,1,3.34,2024-01-05 05:00:00
u0026,conv0000039,sess0000076,A,1,3.93,2024-01-02 02:00:00
u0026,conv0000039,sess0000077,A,1,3.76,2024-01-05 21:00:00
u0026,conv0000039,sess0000078,A,0,2.75,2024-01-04 21:00:00
u0026,conv0000039,sess0000079,A,1,4.15,2024-01-05 00:00:00
u0026,conv0000039,sess0000080,A,1,4.28,2024-01-14 14:00:00
u0027,conv0000040,sess0000081,A,0,3.16,2024-01-02 08:00:00
u0027,conv0000040,sess0000082,A,0,3.52,2024-01-05 07:00:00
u0028,conv0000041,sess0000083,A,0,2.72,2024-01-02 15:00:00
u0029,conv0000043,sess0000084,A,1,3.74,2024-01-05 22:00:00
u0030,conv0000045,sess0000085,A,1,4.94,2024-01-03 15:00:00
u0031,conv0000047,sess0000086,A,1,5.0,2024-01-05 07:00:00
u0032,conv0000048,sess0000087,A,1,2.98,2024-01-02 16:00:00
u0032,conv0000049,sess0000088,A,1,5.0,2024-01-03 22:00:00
u0033,conv0000050,sess0000089,A,1,3.81,2024-01-02 18:00:00
u0033,conv0000050,sess0000090,A,1,3.3,2024-01-08 01:00:00
u0033,conv0000050,sess0000091,A,1,3.87,2024-01-05 17:00:00
u0033,conv0000050,sess0000092,A,1,3.61,2024-01-07 17:00:00
u0033,conv0000050,sess0000093,A,0,2.62,2024-01-04 02:00:00
u0034,conv0000051,sess0000094,A,1,4.58,2024-01-04 00:00:00
u0034,conv0000051,sess0000095,A,1,3.91,2024-01-08 22:00:00
u0034,conv0000052,sess0000096,A,0,3.78,2024-01-03 06:00:00
u0035,conv0000053,sess0000097,A,1,3.53,2024-01-07 05:00:00
u0035,conv0000053,sess0000098,A,1,4.57,2024-01-07 13:00:00
u0035,conv0000053,sess0000099,A,1,4.04,2024-01-05 04:00:00
u0035,conv0000054,sess0000100,A,1,3.79,2024-01-01 20:00:00
u0035,conv0000054,sess0000101,A,1,4.81,2024-01-06 23:00:00
u0036,conv0000055,sess0000102,A,1,4.99,2024-01-01 15:00:00
u0036,conv0000055,sess0000103,A,1,2.91,2024-01-09 01:00:00
u0036,conv0000055,sess0000104,A,0,1.9,2024-01-07 11:00:00
u0036,conv0000055,sess0000105,A,0,3.55,2024-01-09 20:00:00
u0036,conv0000055,sess0000106,A,1,2.96,2024-01-12 19:00:00
u0037,conv0000056,sess0000107,A,0,2.98,2024-01-03 12:00:00
u0037,conv0000056,sess0000108,A,1,4.11,2024-01-06 00:00:00
u0037,conv0000057,sess0000109,A,1,3.14,2024-01-04 05:00:00
u0038,conv0000058,sess0000110,A,0,3.3,2024-01-07 00:00:00
u0038,conv0000058,sess0000111,A,1,3.09,2024-01-07 07:00:00
u0038,conv0000059,sess0000112,A,1,3.98,2024-01-02 07:00:00
u0038,conv0000059,sess0000113,A,1,5.0,2024-01-02 19:00:00
u0039,conv0000060,sess0000114,A,0,2.45,2024-01-03 13:00:00
u0039,conv0000060,sess0000115,A,1,5.0,2024-01-05 23:00:00
u0039,conv0000060,sess0000116,A,0,3.07,2024-01-05 01:00:00
u0039,conv0000061,sess0000117,A,0,2.98,2024-01-06 12:00:00
u0039,conv0000061,sess0000118,A,0,4.38,2024-01-03 06:00:00
u0040,conv0000062,sess0000119,A,0,2.63,2024-01-01 06:00:00
u0040,conv0000063,sess0000120,A,0,2.26,2024-01-04 12:00:00
u0041,conv0000064,sess0000121,A,1,4.67,2024-01-01 08:00:00
u0041,conv0000064,sess0000122,A,0,2.71,2024-01-04 18:00:00
u0041,conv0000064,sess0000123,A,1,4.39,2024-01-06 18:00:00
u0041,conv0000065,sess0000124,A,1,3.27,2024-01-02 18:00:00
u0041,conv0000065,sess0000125,A,1,3.91,2024-01-02 03:00:00
u0042,conv0000066,sess0000126,A,1,4.25,2024-01-02 04:00:00
u0042,conv0000066,sess0000127,A,1,4.53,2024-01-06 11:00:00
u0042,conv0000066,sess0000128,A,1,3.22,2024-01-06 21:00:00
u0043,conv0000067,sess0000129,A,0,2.83,2024-01-06 12:00:00
u0043,conv0000068,sess0000130,A,0,1.27,2024-01-01 06:00:00
u0044,conv0000069,sess0000131,A,1,4.5,2024-01-01 18:00:00
u0044,conv0000069,sess0000132,A,0,4.76,2024-01-06 16:00:00
u0045,conv0000070,sess0000133,A,1,5.0,2024-01-03 09:00:00
u0045,conv0000070,sess0000134,A,0,1.64,2024-01-06 15:00:00
u0045,conv0000070,sess0000135,A,1,3.6,2024-01-11 16:00:00
u0045,conv0000070,sess0000136,A,1,3.78,2024-01-11 01:00:00
u0045,conv0000070,sess0000137,A,1,4.04,2024-01-13 17:00:00
u0046,conv0000071,sess0000138,A,1,3.23,2024-01-01 19:00:00
u0046,conv0000071,sess0000139,A,1,3.49,2024-01-03 19:00:00
u0046,conv0000071,sess0000140,A,1,3.82,2024-01-04 22:00:00
u0046,conv0000072,sess0000141,A,0,1.38,2024-01-01 13:00:00
u0046,conv0000072,sess0000142,A,1,4.5,2024-01-05 23:00:00
u0047,conv0000073,sess0000143,A,1,3.92,2024-01-06 09:00:00
u0048,conv0000074,sess0000144,A,0,1.82,2024-01-04 10:00:00
u0048,conv0000074,sess0000145,A,0,3.24,2024-01-06 05:00:00
u0048,conv0000075,sess0000146,A,0,2.1,2024-01-01 18:00:00
u0049,conv0000076,sess0000147,A,1,4.67,2024-01-05 04:00:00
u0049,conv0000076,sess0000148,A,0,3.41,2024-01-06 18:00:00
u0049,conv0000076,sess0000149,A,1,3.6,2024-01-05 10:00:00
u0050,conv0000077,sess0000150,A,1,4.7,2024-01-05 14:00:00
u0050,conv0000077,sess0000151,A,1,3.26,2024-01-10 07:00:00
u0050,conv0000078,sess0000152,A,0,3.24,2024-01-05 07:00:00
u0051,conv0000079,sess0000153,A,1,4.04,2024-01-02 02:00:00
u0051,conv0000080,sess0000154,A,1,3.92,2024-01-04 00:00:00
u0052,conv0000081,sess0000155,A,1,4.53,2024-01-06 08:00:00
u0052,conv0000082,sess0000156,A,1,4.59,2024-01-03 06:00:00
u0053,conv0000083,sess0000157,A,1,4.9,2024-01-06 23:00:00
u0053,conv0000083,sess0000158,A,1,4.51,2024-01-05 18:00:00
u0053,conv0000083,sess0000159,A,0,2.36,2024-01-08 20:00:00
u0053,conv0000084,sess0000160,A,1,3.73,2024-01-07 20:00:00
u0053,conv0000084,sess0000161,A,1,4.98,2024-01-08 09:00:00
u0054,conv0000085,sess0000162,A,1,4.06,2024-01-01 12:00:00
u0055,conv0000087,sess0000163,A,1,4.12,2024-01-06 23:00:00
u0055,conv0000087,sess0000164,A,0,1.38,2024-01-04 10:00:00
u0055,conv0000087,sess0000165,A,0,1.97,2024-01-08 18:00:00
u0056,conv0000088,sess0000166,A,0,3.06,2024-01-03 00:00:00
u0056,conv0000088,sess0000167,A,1,3.97,2024-01-08 18:00:00
u0056,conv0000089,sess0000168,A,0,3.42,2024-01-06 20:00:00
u0056,conv0000089,sess0000169,A,1,5.0,2024-01-06 06:00:00
u0057,conv0000090,sess0000170,A,1,3.7,2024-01-03 13:00:00
u0057,conv0000090,sess0000171,A,1,4.96,2024-01-09 09:00:00
u0057,conv0000090,sess0000172,A,1,3.6,2024-01-12 07:00:00
u0058,conv0000091,sess0000173,A,1,3.31,2024-01-03 00:00:00
u0058,conv0000092,sess0000174,A,1,3.75,2024-01-01 19:00:00
u0059,conv0000093,sess0000175,A,1,3.7,2024-01-01 09:00:00
u0059,conv0000093,sess0000176,A,1,3.88,2024-01-10 07:00:00
u0059,conv0000093,sess0000177,A,0,2.45,2024-01-03 23:00:00
u0059,conv0000093,sess0000178,A,0,2.42,2024-01-04 13:00:00
u0059,conv0000093,sess0000179,A,1,4.47,2024-01-11 22:00:00
u0060,conv0000094,sess0000180,A,1,4.28,2024-01-04 12:00:00
u0061,conv0000096,sess0000181,A,1,4.02,2024-01-01 04:00:00
u0061,conv0000096,sess0000182,A,0,2.47,2024-01-06 03:00:00
u0062,conv0000097,sess0000183,A,0,1.96,2024-01-07 08:00:00
u0062,conv0000097,sess0000184,A,1,4.16,2024-01-02 14:00:00
u0062,conv0000097,sess0000185,A,1,3.1,2024-01-04 16:00:00
u0062,conv0000098,sess0000186,A,1,3.57,2024-01-03 03:00:00
u0062,conv0000098,sess0000187,A,0,3.28,2024-01-07 18:00:00
u0063,conv0000099,sess0000188,A,1,2.79,2024-01-05 03:00:00
u0063,conv0000099,sess0000189,A,0,2.6,2024-01-04 15:00:00
u0063,conv0000099,sess0000190,A,1,4.86,2024-01-11 13:00:00
u0063,conv0000100,sess0000191,A,1,3.96,2024-01-01 09:00:00
u0063,conv0000100,sess0000192,A,1,3.58,2024-01-05 05:00:00
u0064,conv0000101,sess0000193,A,1,4.32,2024-01-06 13:00:00
u0064,conv0000101,sess0000194,A,1,3.69,2024-01-08 13:00:00
u0064,conv0000101,sess0000195,A,1,4.27,2024-01-09 20:00:00
u0065,conv0000102,sess0000196,A,1,4.93,2024-01-03 21:00:00
u0065,conv0000102,sess0000197,A,0,2.82,2024-01-05 19:00:00
u0065,conv0000102,sess0000198,A,0,3.85,2024-01-07 23:00:00
u0065,conv0000103,sess0000199,A,1,4.65,2024-01-02 09:00:00
u0065,conv0000103,sess0000200,A,1,2.3,2024-01-07 11:00:00
u0066,conv0000104,sess0000201,A,1,5.0,2024-01-02 09:00:00
u0066,conv0000104,sess0000202,A,1,5.0,2024-01-08 22:00:00
u0066,conv0000104,sess0000203,A,1,3.98,2024-01-05 09:00:00
u0066,conv0000104,sess0000204,A,1,4.76,2024-01-12 09:00:00
u0067,conv0000105,sess0000205,A,1,3.78,2024-01-01 05:00:00
u0067,conv0000105,sess0000206,A,1,4.51,2024-01-09 03:00:00
u0067,conv0000106,sess0000207,A,0,3.98,2024-01-06 14:00:00
u0067,conv0000106,sess0000208,A,0,3.07,2024-01-03 13:00:00
u0068,conv0000107,sess0000209,A,1,4.06,2024-01-07 21:00:00
u0068,conv0000107,sess0000210,A,0,1.96,2024-01-05 07:00:00
u0069,conv0000108,sess0000211,A,0,1.95,2024-01-07 23:00:00
u0070,conv0000109,sess0000212,A,0,2.55,2024-01-07 03:00:00
u0070,conv0000109,sess0000213,A,0,2.23,2024-01-04 14:00:00
u0070,conv0000109,sess0000214,A,1,3.79,2024-01-07 04:00:00
u0070,conv0000109,sess0000215,A,1,4.61,2024-01-13 16:00:00
u0070,conv0000109,sess0000216,A,1,4.54,2024-01-16 04:00:00
u0071,conv0000110,sess0000217,A,1,3.69,2024-01-02 02:00:00
u0071,conv0000110,sess0000218,A,1,4.74,2024-01-06 04:00:00
u0071,conv0000110,sess0000219,A,1,2.91,2024-01-07 20:00:00
u0071,conv0000111,sess0000220,A,0,1.79,2024-01-04 21:00:00
u0071,conv0000111,sess0000221,A,0,2.69,2024-01-08 23:00:00
u0072,conv0000112,sess0000222,A,0,3.55,2024-01-04 08:00:00
u0072,conv0000112,sess0000223,A,1,4.1,2024-01-07 10:00:00
u0072,conv0000113,sess0000224,A,1,3.5,2024-01-07 14:00:00
u0072,conv0000113,sess0000225,A,0,1.95,2024-01-06 02:00:00
u0073,conv0000114,sess0000226,A,0,2.55,2024-01-01 03:00:00
u0074,conv0000115,sess0000227,A,0,2.38,2024-01-03 12:00:00
u0074,conv0000115,sess0000228,A,1,3.0,2024-01-08 18:00:00
u0074,conv0000115,sess0000229,A,1,3.77,2024-01-07 23:00:00
u0074,conv0000115,sess0000230,A,0,1.66,2024-01-14 06:00:00
u0075,conv0000116,sess0000231,A,1,3.37,2024-01-03 17:00:00
u0075,conv0000116,sess0000232,A,1,3.39,2024-01-03 23:00:00
u0076,conv0000117,sess0000233,A,1,2.97,2024-01-03 17:00:00
u0076,conv0000117,sess0000234,A,1,4.39,2024-01-04 05:00:00
u0076,conv0000118,sess0000235,A,0,2.89,2024-01-06 13:00:00
u0077,conv0000119,sess0000236,A,0,3.37,2024-01-07 18:00:00
u0077,conv0000119,sess0000237,A,0,2.27,2024-01-05 14:00:00
u0077,conv0000119,sess0000238,A,1,4.06,2024-01-04 16:00:00
u0077,conv0000119,sess0000239,A,1,4.91,2024-01-05 05:00:00
u0077,conv0000119,sess0000240,A,1,3.69,2024-01-11 10:00:00
u0078,conv0000120,sess0000241,A,1,4.71,2024-01-07 02:00:00
u0078,conv0000120,sess0000242,A,1,3.96,2024-01-08 14:00:00
u0079,conv0000121,sess0000243,A,0,2.69,2024-01-05 03:00:00
u0079,conv0000121,sess0000244,A,1,4.55,2024-01-03 11:00:00
u0079,conv0000122,sess0000245,A,1,4.58,2024-01-01 00:00:00
u0080,conv0000123,sess0000246,A,1,4.37,2024-01-01 03:00:00
u0081,conv0000124,sess0000247,A,1,3.71,2024-01-02 13:00:00
u0081,conv0000125,sess0000248,A,0,1.34,2024-01-05 23:00:00
u0082,conv0000126,sess0000249,A,0,1.44,2024-01-04 03:00:00
u0082,conv0000126,sess0000250,A,0,2.76,2024-01-03 21:00:00
u0082,conv0000127,sess0000251,A,0,2.86,2024-01-02 11:00:00
u0083,conv0000128,sess0000252,A,0,3.55,2024-01-04 11:00:00
u0084,conv0000130,sess0000253,A,1,4.94,2024-01-06 13:00:00
u0085,conv0000131,sess0000254,A,1,3.15,2024-01-03 18:00:00
u0086,conv0000133,sess0000255,A,0,2.89,2024-01-01 10:00:00
u0086,conv0000133,sess0000256,A,1,3.51,2024-01-08 09:00:00
u0086,conv0000133,sess0000257,A,1,3.08,2024-01-06 12:00:00
u0086,conv0000133,sess0000258,A,1,3.99,2024-01-07 16:00:00
u0086,conv0000133,sess0000259,A,1,3.66,2024-01-12 15:00:00
u0087,conv0000134,sess0000260,A,1,4.69,2024-01-04 08:00:00
u0087,conv0000134,sess0000261,A,0,2.01,2024-01-06 22:00:00
u0087,conv0000135,sess0000262,A,1,4.08,2024-01-04 16:00:00
u0087,conv0000135,sess0000263,A,1,4.49,2024-01-06 16:00:00
u0088,conv0000136,sess0000264,A,1,2.3,2024-01-05 09:00:00
u0088,conv0000136,sess0000265,A,0,2.95,2024-01-07 15:00:00
u0088,conv0000136,sess0000266,A,1,3.04,2024-01-03 02:00:00
u0088,conv0000136,sess0000267,A,1,2.89,2024-01-07 02:00:00
u0089,conv0000137,sess0000268,A,0,2.2,2024-01-04 18:00:00
u0089,conv0000137,sess0000269,A,0,3.71,2024-01-06 23:00:00
u0089,conv0000137,sess0000270,A,1,4.36,2024-01-06 20:00:00
u0089,conv0000137,sess0000271,A,1,4.08,2024-01-08 00:00:00
u0089,conv0000137,sess0000272,A,1,3.12,2024-01-13 06:00:00
u0090,conv0000138,sess0000273,A,1,3.52,2024-01-06 13:00:00
u0091,conv0000139,sess0000274,A,0,2.36,2024-01-06 23:00:00
u0091,conv0000139,sess0000275,A,0,2.29,2024-01-02 06:00:00
u0091,conv0000139,sess0000276,A,1,4.39,2024-01-11 08:00:00
u0091,conv0000139,sess0000277,A,1,3.95,2024-01-14 09:00:00
u0092,conv0000140,sess0000278,A,0,2.56,2024-01-01 00:00:00
u0093,conv0000141,sess0000279,A,1,4.52,2024-01-06 19:00:00
u0094,conv0000143,sess0000280,A,1,3.7,2024-01-07 19:00:00
u0094,conv0000143,sess0000281,A,1,4.93,2024-01-04 10:00:00
u0094,conv0000143,sess0000282,A,0,2.86,2024-01-12 22:00:00
u0094,conv0000144,sess0000283,A,0,2.96,2024-01-07 01:00:00
u0094,conv0000144,sess0000284,A,0,2.97,2024-01-08 08:00:00
u0095,conv0000145,sess0000285,A,0,2.87,2024-01-01 09:00:00
u0095,conv0000145,sess0000286,A,1,3.09,2024-01-09 09:00:00
u0095,conv0000145,sess0000287,A,1,4.98,2024-01-04 13:00:00
u0095,conv0000145,sess0000288,A,1,3.34,2024-01-05 16:00:00
u0095,conv0000145,sess0000289,A,0,2.46,2024-01-10 19:00:00
u0096,conv0000146,sess0000290,A,0,3.53,2024-01-05 15:00:00
u0097,conv0000148,sess0000291,A,0,3.26,2024-01-07 11:00:00
u0097,conv0000148,sess0000292,A,1,5.0,2024-01-05 19:00:00
u0098,conv0000149,sess0000293,A,1,3.55,2024-01-04 18:00:00
u0098,conv0000149,sess0000294,A,0,2.35,2024-01-07 15:00:00
u0099,conv0000150,sess0000295,A,1,4.83,2024-01-07 23:00:00
u0100,conv0000152,sess0000296,A,1,5.0,2024-01-05 12:00:00
u0100,conv0000152,sess0000297,A,0,2.17,2024-01-09 00:00:00
u0100,conv0000152,sess0000298,A,0,4.09,2024-01-09 16:00:00
u0100,conv0000152,sess0000299,A,1,3.95,2024-01-10 05:00:00
u0100,conv0000152,sess0000300,A,1,4.55,2024-01-14 02:00:00
u0101,conv0000153,sess0000301,A,0,3.01,2024-01-03 01:00:00
u0101,conv0000154,sess0000302,A,1,3.43,2024-01-03 07:00:00
u0102,conv0000155,sess0000303,A,1,4.24,2024-01-05 17:00:00
u0103,conv0000156,sess0000304,A,0,1.93,2024-01-07 09:00:00
u0103,conv0000156,sess0000305,A,0,1.88,2024-01-09 22:00:00
u0103,conv0000157,sess0000306,A,1,3.99,2024-01-02 08:00:00
u0104,conv0000158,sess0000307,A,1,4.14,2024-01-06 19:00:00
u0104,conv0000158,sess0000308,A,0,4.11,2024-01-06 18:00:00
u0104,conv0000159,sess0000309,A,0,1.72,2024-01-05 14:00:00
u0105,conv0000160,sess0000310,A,1,3.65,2024-01-03 14:00:00
u0105,conv0000160,sess0000311,A,1,4.26,2024-01-07 06:00:00
u0105,conv0000160,sess0000312,A,1,4.33,2024-01-09 10:00:00
u0105,conv0000160,sess0000313,A,0,2.39,2024-01-07 20:00:00
u0106,conv0000161,sess0000314,A,1,4.98,2024-01-06 06:00:00
u0106,conv0000161,sess0000315,A,0,3.14,2024-01-03 21:00:00
u0106,conv0000161,sess0000316,A,0,2.78,2024-01-02 06:00:00
u0106,conv0000161,sess0000317,A,0,2.02,2024-01-15 17:00:00
u0106,conv0000161,sess0000318,A,1,4.13,2024-01-11 12:00:00
u0107,conv0000162,sess0000319,A,1,5.0,2024-01-06 06:00:00
u0107,conv0000162,sess0000320,A,1,3.59,2024-01-07 17:00:00
u0107,conv0000162,sess0000321,A,1,3.91,2024-01-06 20:00:00
u0107,conv0000162,sess0000322,A,1,4.11,2024-01-11 12:00:00
u0107,conv0000162,sess0000323,A,0,2.79,2024-01-13 15:00:00
u0108,conv0000163,sess0000324,A,0,2.56,2024-01-03 16:00:00
u0108,conv0000163,sess0000325,A,1,4.2,2024-01-02 14:00:00
u0108,conv0000164,sess0000326,A,0,2.22,2024-01-01 18:00:00
u0109,conv0000165,sess0000327,A,1,4.26,2024-01-06 04:00:00
u0110,conv0000167,sess0000328,A,0,1.82,2024-01-04 05:00:00
u0111,conv0000169,sess0000329,A,0,2.1,2024-01-04 02:00:00
u0111,conv0000169,sess0000330,A,1,4.22,2024-01-05 08:00:00
u0111,conv0000169,sess0000331,A,1,3.19,2024-01-04 15:00:00
u0112,conv0000170,sess0000332,A,1,4.58,2024-01-03 02:00:00
u0112,conv0000170,sess0000333,A,0,3.11,2024-01-04 22:00:00
u0113,conv0000171,sess0000334,A,0,3.14,2024-01-07 19:00:00
u0113,conv0000171,sess0000335,A,0,2.33,2024-01-04 12:00:00
u0113,conv0000171,sess0000336,A,1,3.24,2024-01-07 03:00:00
u0113,conv0000171,sess0000337,A,1,3.58,2024-01-04 23:00:00
u0113,conv0000171,sess0000338,A,0,2.3,2024-01-18 08:00:00
u0114,conv0000172,sess0000339,A,1,4.15,2024-01-03 11:00:00
u0114,conv0000172,sess0000340,A,0,2.28,2024-01-07 16:00:00
u0114,conv0000172,sess0000341,A,0,2.91,2024-01-10 11:00:00
u0114,conv0000173,sess0000342,A,0,2.59,2024-01-06 00:00:00
u0114,conv0000173,sess0000343,A,0,2.91,2024-01-08 06:00:00
u0115,conv0000174,sess0000344,A,1,5.0,2024-01-03 18:00:00
u0115,conv0000174,sess0000345,A,0,2.86,2024-01-09 09:00:00
u0115,conv0000174,sess0000346,A,1,3.19,2024-01-02 02:00:00
u0115,conv0000174,sess0000347,A,1,3.56,2024-01-08 15:00:00
u0115,conv0000174,sess0000348,A,1,3.36,2024-01-16 00:00:00
u0116,conv0000175,sess0000349,A,0,2.16,2024-01-07 05:00:00
u0116,conv0000175,sess0000350,A,0,2.96,2024-01-08 23:00:00
u0117,conv0000176,sess0000351,A,0,3.35,2024-01-06 11:00:00
u0117,conv0000176,sess0000352,A,0,2.89,2024-01-05 20:00:00
u0117,conv0000176,sess0000353,A,1,3.29,2024-01-08 18:00:00
u0117,conv0000177,sess0000354,A,0,2.05,2024-01-02 19:00:00
u0117,conv0000177,sess0000355,A,1,3.01,2024-01-08 01:00:00
u0118,conv0000178,sess0000356,A,0,1.93,2024-01-02 09:00:00
u0118,conv0000178,sess0000357,A,1,4.87,2024-01-07 18:00:00
u0118,conv0000178,sess0000358,A,0,3.12,2024-01-06 20:00:00
u0118,conv0000179,sess0000359,A,1,4.22,2024-01-01 06:00:00
u0118,conv0000179,sess0000360,A,0,4.01,2024-01-02 19:00:00
u0119,conv0000180,sess0000361,A,1,4.67,2024-01-01 00:00:00
u0120,conv0000181,sess0000362,A,1,4.7,2024-01-01 10:00:00
u0120,conv0000182,sess0000363,A,1,3.28,2024-01-06 09:00:00
u0121,conv0000183,sess0000364,A,1,4.94,2024-01-04 10:00:00
u0122,conv0000184,sess0000365,A,1,4.6,2024-01-07 08:00:00
u0122,conv0000184,sess0000366,A,0,3.08,2024-01-07 13:00:00
u0122,conv0000184,sess0000367,A,1,4.86,2024-01-08 16:00:00
u0122,conv0000185,sess0000368,A,1,3.52,2024-01-06 23:00:00
u0122,conv0000185,sess0000369,A,0,2.71,2024-01-07 02:00:00
u0123,conv0000186,sess0000370,A,1,3.91,2024-01-05 01:00:00
u0123,conv0000186,sess0000371,A,0,2.13,2024-01-05 01:00:00
u0123,conv0000187,sess0000372,A,1,3.6,2024-01-02 10:00:00
u0123,conv0000187,sess0000373,A,1,4.41,2024-01-07 04:00:00
u0124,conv0000188,sess0000374,A,1,4.17,2024-01-04 06:00:00
u0124,conv0000189,sess0000375,A,1,4.94,2024-01-05 07:00:00
u0125,conv0000190,sess0000376,A,1,4.02,2024-01-01 11:00:00
